osm_type,osm_id,name,lat,lon,address,city,website,review
way,379954448,Cherry Hill Golf Course,46.3408599,-120.174255,,,,
way,51755445,Classic Golf Club,47.0637059,-122.3625213,,,https://classicgolfclub.net/,
way,261956360,Colfax Golf and Country Club,46.903911,-117.3446037,,,,
relation,1020467,Colockum Ridge Golf Course,47.159367,-119.8640351,17056 Road 5 NW Quincy WA 98848,Quincy,https://colockumridgegolf.com/,
way,57742200,Columbia Park Golf Tri Plex,46.2223593,-119.1588762,,,,
way,591562126,Columbia Point Golf Course,46.2633386,-119.2598334,,,,
way,37819703,Columbia Super Range,47.8829664,-122.2224702,511 128th Street Southeast Everett WA 98208,Everett,,
relation,1146821,Coyote Ridge Golf Course,47.916551,-119.0635095,,,https://www.coyoteridgegolfcourse.com/,
way,227232050,Creek at Qualchan Golf Course,47.6085039,-117.4141428,,,,
way,260696851,Crescent Bar Resort Golf Course,47.2055548,-119.9972544,23618 Road 8.6 NW Quincy WA 98848,Quincy,https://www.crescentbarrecreation.com/golfing,Two distinct courses ~2km apart — kept both
relation,6971063,Crescent Bar Resort Golf Course,47.2230703,-119.9980216,,,,Two distinct courses ~2km apart — kept both
way,30455420,Crossroads Par 3 Golf Course,47.6214363,-122.1267422,,,,
way,1179893530,Crystal Springs Golf Course,46.4683131,-117.5862757,,,,
way,548027741,Dakota Creek Golf & Country Club,48.9746225,-122.6543683,,,,
way,301730123,Deer Park Golf Club,47.967523,-117.4525218,,,,
relation,19187957,Delphi Golf Course,46.9846125,-123.0151101,,,,
relation,18622804,Desert Aire Golf Club,46.6866446,-119.9216976,,,,
way,1315830295,Desert Canyon Golf Resort,47.7194736,-120.1845584,,,,
way,248607191,Discovery Bay Golf Course,48.0602837,-122.8435229,,,,
way,243358076,Dominion Meadows Golf Course,48.5403827,-117.8743173,,,,
way,224776655,Downriver Golf Course,47.6847672,-117.4668416,,,,
way,350237324,Druid's Glen,47.3298989,-122.0641247,,,https://druidsglengolf.com/,
way,1312953695,Dungeness Golf Course,48.1201266,-123.1776326,,,,
relation,3902511,Eaglemont Golf Club,48.4062225,-122.2804488,4800 Eaglemount Drive Mount Vernon 98274,Mount Vernon,https://www.eaglemontgolf.com/,
way,51244842,Eagles Pride Golf Course,47.0885066,-122.6620051,1529 Mounts Road Southwest DuPont WA 98327,DuPont,http://www.jblmmwr.com/eagles_pride/,
relation,12824449,Echo Falls Golf Club,47.8090712,-122.0666368,20414 121st Avenue Southeast Snohomish WA 98296,Snohomish,https://www.echofallsgolf.com/,
way,276105262,Elk Ridge Golf Course,45.729531,-121.8038844,,,,
way,1027260900,Ellensburg Golf and Country Club,47.0202489,-120.6238259,,,,
way,502262304,Enumclaw Golf Course,47.1928383,-121.9565177,,,,
way,42792763,Esmeralda Municipal Golf Course,47.6929244,-117.3526665,,,,
way,37230932,Everett Golf and Country Club,47.9452594,-122.2102476,,,,
relation,5953575,Fairway Village Golf Course,45.5999305,-122.5127962,,,,
relation,8219699,Fairwood Golf & Country Club,47.4509075,-122.1433046,,,https://www.fairwood.org/,
way,188417220,Fircrest Golf Course,47.2335685,-122.5213075,,,,
way,238917179,Fisher Park Golf Course,46.589031,-120.560599,,,,
way,658248160,Flowing Lake Golf Course,47.9531586,-121.9820461,,,,
way,51240728,Fort Steilacoom Golf Course,47.1828267,-122.5693643,,,,
